 ProductID ,Date,CustomerID,CampaignID,Units,Product,Category,Segment,ManufacturerID,Manufacturer,Unit Cost,Unit Price,ZipCode,Email Name,City,State,Region,District,Country
585,2/11/2011,20065,2,1,Maximus UC-50,Urban,Convenience,7,VanArsdel,30.66,41.99,23454,(Ignacia.Ortiz@xyza.com): Ortiz. Ignacia,Virginia Beach. VA. USA,VA,East,District #07,USA
690,4/3/2011,135306,1,1,Maximus UC-55,Urban,Convenience,7,VanArsdel,26.82,36.74,11704,(Nina.Mccullough@xyza.com): Mccullough. Nina,West Babylon. NY. USA,NY,East,District #03,USA
615,4/22/2016,139732,14,1,Maximus UC-80,Urban,Convenience,7,VanArsdel,49.82,68.24,55011,(Colton.Dominguez@xyza.com): Dominguez. Colton,Cedar. MN. USA,MN,Central,District #28,USA
636,4/6/2012,137133,1,1,Maximus UC-01,Urban,Convenience,7,VanArsdel,64.38,88.19,45344,(Samuel.Weber@xyza.com): Weber. Samuel,New Carlisle. OH. USA,OH,East,District #16,USA
491,5/17/2012,82782,12,1,Maximus UM-96,Urban,Moderation,7,VanArsdel,63.45,86.91,45414,(Rhiannon.Fisher@xyza.com): Fisher. Rhiannon,Dayton. OH. USA,OH,East,District #16,USA
690,4/20/2013,193216,16,1,Maximus UC-55,Urban,Convenience,7,VanArsdel,26.82,36.74,8204,(Ella.Harrington@xyza.com): Harrington. Ella,Cape May. NJ. USA,NJ,East,District #04,USA
690,8/7/2011,149106,3,1,Maximus UC-55,Urban,Convenience,7,VanArsdel,26.82,36.74,11784,(Alma.Swanson@xyza.com): Swanson. Alma,Selden. NY. USA,NY,East,District #03,USA
676,1/27/2016,255156,15,1,Maximus UC-41,Urban,Convenience,7,VanArsdel,55.57,76.12,13318,(Jerome.Wood@xyza.com): Wood. Jerome,Cassville. NY. USA,NY,East,District #01,USA
690,9/16/2011,160551,1,1,Maximus UC-55,Urban,Convenience,7,VanArsdel,26.82,36.74,68107,(Melanie.Mcdaniel@xyza.com): Mcdaniel. Melanie,Omaha. NE. USA,NE,Central,District #30,USA
449,9/12/2014,188759,19,1,Maximus UM-54,Urban,Moderation,7,VanArsdel,74.73,102.37,28214,(Lionel.Mathis@xyza.com): Mathis. Lionel,Charlotte. NC. USA,NC,East,District #11,USA
491,7/18/2015,65782,5,1,Maximus UM-96,Urban,Moderation,7,VanArsdel,63.45,86.91,84074,(Madeson.Ford@xyza.com): Ford. Madeson,Tooele. UT. USA,UT,West,District #33,USA
449,3/9/2014,271597,15,1,Maximus UM-54,Urban,Moderation,7,VanArsdel,74.73,102.37,53586,(Brianna.Lopez@xyza.com): Lopez. Brianna,Shullsburg. WI. USA,WI,Central,District #27,USA
548,3/1/2011,111386,5,1,Maximus UC-13,Mix,All Season,7,VanArsdel,37.94,51.97,57719,(Martin.Massey@xyza.com): Massey. Martin,Box Elder. SD. USA,SD,Central,District #32,USA
465,3/8/2015,262003,22,1,Maximus UM-70,Urban,Moderation,7,VanArsdel,86.23,118.12,27871,(Maisie.Mclean@xyza.com): Mclean. Maisie,Robersonville. NC. USA,NC,East,District #08,USA
465,1/21/2015,119621,11,1,Maximus UM-70,Urban,Moderation,7,VanArsdel,86.23,118.12,85119,(Jordan.Puckett@xyza.com): Puckett. Jordan,Apache Junction. AZ. USA,AZ,West,District #39,USA
487,7/19/2011,131973,9,1,Maximus UM-92,Urban,Moderation,7,VanArsdel,80.48,110.24,60646,(Xantha.Noble@xyza.com): Noble. Xantha,Chicago. IL. USA,IL,Central,District #31,USA
433,3/30/2011,3003,19,1,Maximus UM-38,Urban,Moderation,7,VanArsdel,73.58,100.79,89169,(Illiana.Hays@xyza.com): Hays. Illiana,Las Vegas. NV. USA,NV,West,District #38,USA
506,1/15/2015,125803,13,1,Maximus UM-11,Urban,Moderation,7,VanArsdel,90.83,124.42,48836,(Orli.Mercer@xyza.com): Mercer. Orli,Fowlerville. MI. USA,MI,East,District #18,USA
470,10/19/2013,115768,1,1,Maximus UM-75,Urban,Moderation,7,VanArsdel,74.73,102.37,79765,(Montana.Gilmore@xyza.com): Gilmore. Montana,Odessa. TX. USA,TX,Central,District #22,USA
398,6/27/2014,18904,2,1,Maximus UM-03,Accessory,Accessory,7,VanArsdel,114.97,157.49,68123,(Byron.Mullen@xyza.com): Mullen. Byron,Bellevue. NE. USA,NE,Central,District #30,USA
